Sample ID,Sample resolution [m],state
112460967176_0.1,0.1,1
112460967176_0.05,0.05,1
112513532513_0.25,0.25,1
112513532513_0.2,0.2,1
112513532513_0.15,0.15,1
112513532513_0.1,0.1,1
112513532513_0.05,0.05,2
112627484656_0.25,0.25,1
112627484656_0.2,0.2,1
112627484656_0.15,0.15,1
112627484656_0.1,0.1,1
112627484656_0.05,0.05,1
112719796743_0.25,0.25,1
112719796743_0.2,0.2,1
112719796743_0.15,0.15,1
112719796743_0.1,0.1,1
112719796743_0.05,0.05,1
112741174091_0.25,0.25,1
112741174091_0.2,0.2,1
112741174091_0.15,0.15,1
112741174091_0.1,0.1,1
112741174091_0.05,0.05,2
113076385127_0.25,0.25,1
113076385127_0.2,0.2,1
113076385127_0.15,0.15,1
113076385127_0.1,0.1,1
113076385127_0.05,0.05,2
113231255401_0.25,0.25,1
113231255401_0.2,0.2,1
113231255401_0.15,0.15,1
113231255401_0.1,0.1,1
113231255401_0.05,0.05,1
113355293512_0.25,0.25,1
113355293512_0.2,0.2,1
113355293512_0.15,0.15,1
113355293512_0.1,0.1,1
113355293512_0.05,0.05,1
113437726222_0.25,0.25,1
113437726222_0.2,0.2,1
113437726222_0.15,0.15,1
113437726222_0.1,0.1,1
113437726222_0.05,0.05,1
113537116848_0.25,0.25,1
113537116848_0.2,0.2,1
113537116848_0.15,0.15,1
113537116848_0.1,0.1,1
113537116848_0.05,0.05,1
113661671620_0.25,0.25,1
113661671620_0.2,0.2,1
113661671620_0.15,0.15,1
113661671620_0.1,0.1,1
113661671620_0.05,0.05,1
113861658276_0.25,0.25,1
113861658276_0.2,0.2,1
113861658276_0.15,0.15,1
113861658276_0.1,0.1,1
113861658276_0.05,0.05,2
114237362548_0.25,0.25,1
114237362548_0.2,0.2,1
114237362548_0.15,0.15,1
114237362548_0.1,0.1,1
114237362548_0.05,0.05,2
114247764219_0.25,0.25,1
114247764219_0.2,0.2,1
114247764219_0.15,0.15,1
114247764219_0.1,0.1,1
114247764219_0.05,0.05,1
114300983737_0.25,0.25,1
114300983737_0.2,0.2,1
114300983737_0.15,0.15,1
114300983737_0.1,0.1,1
114300983737_0.05,0.05,1
114431671323_0.25,0.25,1
114431671323_0.2,0.2,1
114431671323_0.15,0.15,1
114431671323_0.1,0.1,1
114431671323_0.05,0.05,1
